num	group	inoculation	genotype	replication	shoot_weight	primary_root_length
103	RM	Rhizobium sp.4F10	rsl2 rsl4	3	68.5	8.689
104	RM	Rhizobium sp.4F10	rsl2 rsl4	4	44.1	8.672
105	RM	Rhizobium sp.4F10	rsl2 rsl4	5	50.6	7.994
106	RM	buffer	coi1_16	1	57.4	9.075
107	RM	buffer	coi1_16	2	44.4	8.739
108	RM	buffer	coi1_16	3	64.3	8.723
109	RM	buffer	coi1_16	4	61	8.474
110	RM	buffer	coi1_16	5	51	9.049
111	RM	buffer	Col_0	1	60.4	8.021
112	RM	buffer	Col_0	2	38.7	9.034
113	RM	buffer	Col_0	3	67.4	8.025
114	RM	buffer	Col_0	4	53.1	7.566
115	RM	buffer	Col_0	5	44.1	7.63
116	RM	buffer	ein3 eil1	1	35.7	8.243
117	RM	buffer	ein3 eil1	2	27.6	8.22
118	RM	buffer	ein3 eil1	3	30.7	8.398
119	RM	buffer	ein3 eil1	4	37.7	8.153
120	RM	buffer	ein3 eil1	5	45.6	7.898
121	RM	buffer	gl2	1	66.3	8.336
122	RM	buffer	gl2	2	55.3	7.9
123	RM	buffer	gl2	3	57.8	8.451
124	RM	buffer	gl2	4	62.1	8.586
125	RM	buffer	gl2	5	65.9	8.395
126	RM	buffer	npr1	1	39.5	7.577
127	RM	buffer	npr1	2	39.6	6.67
128	RM	buffer	npr1	3	31.3	7.138
129	RM	buffer	npr1	4	26.7	7.198
130	RM	buffer	npr1	5	33	6.61
131	RM	buffer	ost1_3	1	35.9	8.06
132	RM	buffer	ost1_3	2	49.5	7.349
133	RM	buffer	ost1_3	3	36.6	7.644
134	RM	buffer	ost1_3	4	29.7	8.366
135	RM	buffer	ost1_3	5	43.5	8.179
136	RM	buffer	rsl2 rsl4	1	32.8	8.293
137	RM	buffer	rsl2 rsl4	2	34.2	7.913
138	RM	buffer	rsl2 rsl4	3	46.8	8.04
139	RM	buffer	rsl2 rsl4	4	38.3	7.516
140	RM	buffer	rsl2 rsl4	5	34.9	7.444
