ID	RH_En_Col_0_DT_2	RH_En_Col_0_DT_3	RH_En_Col_0_DT_6	RH_En_gl2_DT_1	RH_En_gl2_DT_4	RH_En_gl2_DT_6	RH_En_rsl2rsl4_DT_1	RH_En_rsl2rsl4_DT_3	RH_En_rsl2rsl4_DT_5	RH_Rhi_Col_0_DT_2	RH_Rhi_Col_0_DT_3	RH_Rhi_Col_0_DT_6	RH_Rhi_gl2_DT_1	RH_Rhi_gl2_DT_4	RH_Rhi_gl2_DT_6	RH_Rhi_rsl2rsl4_DT_1	RH_Rhi_rsl2rsl4_DT_3	RH_Rhi_rsl2rsl4_DT_5
K00029	409.648436	322.612274	423.202874	390.561413	417.768937	387.092739	307.546048	354.613035	345.900066	183.760291	174.98292	221.544061	160.95584	210.677548	172.454425	197.680749	180.713559	191.850664
K00030	39.47804	44.113175	34.565524	55.980189	68.983917	50.668034	45.183149	43.058413	52.727415	114.404942	120.70654	100.10573	129.127209	97.707578	116.341301	116.385462	101.703339	112.00107
K00031	337.036064	338.890214	367.331153	356.268333	330.860197	342.810328	350.974459	306.430663	309.700077	223.001509	228.772133	257.318153	209.59199	248.406318	217.757299	241.760743	222.740928	262.240164
K00032	3.648257	6.541504	8.020207	5.994892	11.513271	3.832186	6.10099	4.92927	12.856059	6.978108	9.959634	11.098594	14.704651	18.231913	7.587629	9.647698	6.546865	9.084546
K00033	214.717358	194.619617	177.958315	158.372228	169.441478	200.435075	200.283924	165.686571	176.348469	242.128418	255.132994	242.558354	248.082284	223.040031	248.777961	257.535848	230.006617	235.114601
K00034	75.470488	75.412746	61.044684	54.144026	74.314208	59.739036	58.446314	84.567486	59.606509	101.234937	106.789828	100.259885	107.205217	91.803824	99.482987	94.513596	114.74186	105.82271
K00035	54.946356	41.895084	77.366756	54.719037	52.484948	44.770836	34.973996	63.386562	51.143476	25.483386	20.666909	27.646758	15.288142	22.35416	13.654555	18.113653	11.147537	13.684363
K00036	302.526568	325.874714	337.3652	347.343045	319.839168	330.193239	304.896613	298.799223	284.38675	517.093383	542.402804	480.95383	534.93312	475.490903	511.142803	521.680126	448.59507	467.569087
K00037	0	0.666101	0.114671	0.585466	0	0	0.486716	0	0	0.085113	0.465083	0.34432	0.038352	0.237045	0.254845	0.256156	0.47915	0.214828
K00038	46.648283	54.267437	36.166098	51.186558	38.937221	49.852857	43.85291	40.574775	27.721005	78.111176	50.277176	70.589421	54.922425	64.484641	65.642441	65.907138	66.226047	56.265458
K00039	27.485003	24.120334	30.497269	34.159147	42.641588	33.493757	14.861792	33.454954	18.167767	10.136018	18.13351	18.46281	11.325392	19.186373	12.225564	15.830053	15.870855	13.628907
K00040	85.105883	83.188354	117.170437	100.504208	88.886094	91.091622	61.743119	99.990521	90.657887	46.340977	50.438867	61.310664	47.42736	51.184854	42.490044	54.440653	32.966992	40.139029
K00041	50.644331	31.769238	62.645609	60.413622	53.532856	61.904314	28.508526	43.50599	34.547168	18.385278	21.905338	18.413098	21.312192	18.044369	18.446928	18.6101	18.935918	16.790483
K00042	175.94176	185.350894	193.125427	205.409057	205.250187	220.593731	174.073853	180.74452	185.894213	185.241315	189.064429	208.194921	188.573874	197.426316	188.71825	191.157116	194.74957	205.85272
K00043	77.928097	75.657654	81.136367	79.007351	83.416683	88.78243	70.743524	69.876443	51.101407	28.374107	34.969703	43.954361	29.730543	44.343519	29.441603	36.023581	22.814385	26.973846
K00044	0.284357	0.142335	1.385359	0.137822	1.426393	0.136143	0.446138	0.39853	0	0.346945	0.296903	0.233371	0.136045	0.167021	0.317086	0.397274	0.169085	0.547792
K00045	51.614635	52.402438	68.608949	61.444915	62.477561	55.838351	48.665984	57.21946	54.004244	37.978988	43.086424	51.215713	42.00423	37.410652	35.967664	43.430793	29.322293	34.503734
K00046	164.357884	217.705162	216.007028	162.563745	187.158408	194.337875	167.8715	215.813864	212.261482	156.17673	175.914496	178.120194	172.509591	183.782169	166.475101	173.13006	161.244489	151.642326
K00048	2.399348	4.170789	3.773576	1.405478	3.151534	5.478752	4.099886	4.117597	1.50977	2.737741	2.208557	2.583195	3.061587	1.663247	1.907812	3.460963	2.471039	2.813879
K00049	1.665909	2.74722	0.196688	0.949978	0.892784	1.477841	1.191685	0.509301	0.492097	3.29534	2.647006	3.782988	5.014699	2.460901	3.513349	3.362388	5.385326	4.84908
K00050	6.917653	5.666434	16.330792	5.316136	8.607371	7.784789	4.294027	5.303564	2.648209	5.784227	9.845902	6.65227	6.236625	11.054506	5.803828	8.359217	5.236734	5.003512
K00051	0	0	0	0	0	0	0	0	0	0.12968	0.195161	0	0.060439	0.131222	0.056616	0.05781	0	0.230078
K00052	279.779717	289.213729	288.741025	265.556756	254.961365	264.561744	258.94226	296.660267	285.786834	245.677115	246.771441	261.39257	253.177358	239.734637	246.111815	254.921279	255.84194	241.222479
K00053	205.958342	221.433454	219.093261	210.204808	189.625258	245.549798	224.9553	230.072261	205.38719	224.562287	208.652644	236.16424	221.52752	215.863119	219.219339	240.951455	210.949908	225.564152
K00054	27.736589	28.263554	43.639119	27.078039	26.426325	33.59945	26.965568	23.867675	23.824764	11.884113	10.552675	11.872182	10.74529	8.79688	10.682	8.916397	12.15553	11.83894
K00055	31.640439	30.613056	29.524281	31.442125	33.408885	34.562367	33.814239	32.035368	25.490949	41.803645	43.741369	47.412702	40.282679	37.482275	42.081773	41.369795	45.229931	39.080346
K00057	165.076166	184.446639	200.970392	165.830171	157.97944	183.496329	156.025282	155.256147	158.019683	195.423601	178.003753	200.859781	171.380212	178.651038	181.944728	189.220277	170.919313	174.412933
K00058	574.275565	643.204698	536.938512	584.592456	558.517862	554.291831	587.5279	710.650037	642.902948	639.569725	599.950041	656.780743	604.863893	584.008448	649.904784	630.822218	691.758971	643.047355
K00059	1003.519577	1267.622938	1119.688812	1168.423091	1017.178203	1027.435872	1238.056849	1312.835256	1305.00977	1293.684996	1263.385595	1361.531141	1307.097621	1223.524716	1299.220226	1321.215581	1340.13617	1317.760752
K00060	82.906456	81.922075	67.270206	82.853479	56.123056	66.655246	59.909055	71.066457	66.934179	62.73149	67.429679	66.968783	60.451771	66.646042	77.358634	71.391484	83.191586	61.451873
K00061	1.233549	1.577818	0	0.132409	0.040295	2.943545	1.853994	0.306703	0.592609	1.555476	1.601621	1.570948	0.900085	1.031128	1.948692	1.470764	1.294853	1.029315
K00062	4.834502	2.224594	2.457383	4.393572	5.318113	6.243802	1.15237	1.690964	0	1.23771	1.726371	1.684031	0.684492	2.676373	1.710155	0.664907	0.559447	0.709423
K00063	0	0	0	0.998057	0.183864	0.27378	0.208149	3.43007	1.24131	1.69757	0.051343	0	0	0.051446	0.191249	0.658814	0.939147	0
K00064	120.161208	118.978635	119.019471	116.978821	131.147166	100.298081	93.962476	93.135147	122.967074	73.050484	73.799099	80.529279	75.801466	89.65029	63.305166	82.652246	48.835083	80.93429
K00065	103.078326	129.704941	134.145538	95.174893	96.317666	106.940405	110.513581	96.867674	108.601615	98.587839	103.421735	118.983799	108.88216	104.156058	107.480977	100.493758	118.599257	105.795594
K00066	56.795443	41.172684	48.55087	40.69734	47.908138	41.970468	58.951793	49.03394	84.861203	47.479627	40.440324	44.578857	41.955322	44.934702	43.244119	48.199454	52.137759	51.986112
K00067	180.189857	150.997838	149.864941	149.203212	144.251055	167.54572	142.152673	168.818488	158.43938	170.222952	187.203461	179.51485	184.439743	182.211335	195.926489	178.138552	156.295505	167.148292
K00068	34.705146	49.204024	26.704636	47.923578	33.493468	35.788958	22.467428	39.530144	29.87115	60.392796	64.746137	68.114998	58.641861	60.232296	66.128467	69.919292	54.438756	52.474206
K00069	0	0.148049	0	0	0	1.002636	2.23361	0	0.788853	0.317947	0.644649	1.052031	0.328922	0.504863	1.361576	4.242212	0.511273	0.106027
K00070	2.282939	3.975302	0.701435	5.227255	2.946528	3.29923	4.4393	1.475698	3.198875	4.158594	3.681756	7.283184	5.592888	4.817632	6.023202	5.730919	5.104862	7.69845
K00071	0	0	0	0	0	0	0	0	0	0	0	0	0	0.410916	0	0	0	0
K00073	54.10115	66.506653	37.619476	59.078567	38.027059	33.506466	75.792935	65.762549	71.866798	48.660403	40.22476	48.284958	35.81438	49.376085	45.970011	50.619792	53.586575	49.568397
K00074	203.72499	249.664155	232.407235	265.906259	233.191299	241.1881	252.803898	262.052503	294.67354	294.845174	287.732116	298.028043	292.695812	281.306707	301.904192	299.776289	268.817034	293.498067
K00075	191.209247	237.90517	216.917021	216.638955	217.505766	230.471747	223.194621	258.160321	224.070486	187.30953	186.039954	196.200555	177.300436	212.212205	190.797498	198.385139	182.105176	177.689447
