ID	Well1	Kingdom	Phylum	Class	Order	Family	Genus	Species	ID
Ramlibacter sp. 19D4	19_D4	Bacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Unassigned	Ramlibacter sp. 19D4
Rhizobium sp. 5A12	5_A12	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unassigned	Rhizobium sp. 5A12
Acidovorax sp. 9B10	9_B10	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Unassigned	Acidovorax sp. 9B10
Reyranella sp. 4C6	4_C6	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	Unassigned	Reyranella sp. 4C6
Ferrovibrio sp. 4G2	4_G2	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Ferrovibrionales	Ferrovibrionaceae	Ferrovibrio	Unassigned	Ferrovibrio sp. 4G2
Burkholderia-Caballeronia-Paraburkholderia sp. 4G9	4_G9	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Unassigned	Burkholderia-Caballeronia-Paraburkholderia sp. 4G9
Comamonadaceae_Unassigned sp. 2D9	2_D9	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 2D9
Sphingomonas sp. 25D7	25_D7	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	Sphingomonas sp. 25D7
Burkholderia-Caballeronia-Paraburkholderia sp. 22A3	22_A3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Unassigned	Burkholderia-Caballeronia-Paraburkholderia sp. 22A3
Enterobacteriaceae_Unassigned sp. 22B4	22_B4	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae_Unassigned	Unassigned	Enterobacteriaceae_Unassigned sp. 22B4
