ID	Well1	Kingdom	Phylum	Class	Order	Family	Genus	Species	ID
Comamonadaceae_Unassigned sp. 20B7	20_B7	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 20B7
Vogesella sp. 9C3	9_C3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Vogesella	Unassigned	Vogesella sp. 9C3
Sphingopyxis sp. 5A11	5_A11	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Unassigned	Sphingopyxis sp. 5A11
Thermomonas sp. 9D3	9_D3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	s:uncultured_bacterium	Thermomonas sp. 9D3
Comamonadaceae_Unassigned sp. 9D5	9_D5	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 9D5
Comamonadaceae_Unassigned sp. 9D8	9_D8	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 9D8
Comamonadaceae_Unassigned sp. 9E1	9_E1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 9E1
Brevundimonas sp. 9F12	9_F12	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unassigned	Brevundimonas sp. 9F12
Asticcacaulis sp. 9G4	9_G4	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Unassigned	Asticcacaulis sp. 9G4
Pseudoxanthomonas sp. 4D11	4_D11	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Unassigned	Pseudoxanthomonas sp. 4D11
Sphingomonas sp. 5F9	5_F9	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	Sphingomonas sp. 5F9
Sphingomonas sp. 21A3	21_A3	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	Sphingomonas sp. 21A3
Lysobacter sp. 4F11	4_F11	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	Lysobacter sp. 4F11
Rhizobium sp. 21B8	21_B8	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unassigned	Rhizobium sp. 21B8
Asticcacaulis sp. 20D5	20_D5	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	s:Asticcacaulis_sp._HRRK043	Asticcacaulis sp. 20D5
Stenotrophomonas sp. 10A8	10_A8	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Unassigned	Stenotrophomonas sp. 10A8
Sphingobium sp. 10A12	10_A12	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Unassigned	Sphingobium sp. 10A12
Altererythrobacter sp. 10D5	10_D5	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	Unassigned	Altererythrobacter sp. 10D5
Acinetobacter sp. 10G1	10_G1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned	Acinetobacter sp. 10G1
Herbaspirillum sp. 10G7	10_G7	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Unassigned	Herbaspirillum sp. 10G7
Nocardioides sp. 1A6	1_A6	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 1A6
Microbacteriaceae_Unassigned sp. 20E1	20_E1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacteriaceae_Unassigned	Unassigned	Microbacteriaceae_Unassigned sp. 20E1
Shimazuella sp. 2B11	2_B11	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Shimazuella	unclassifiedShimazuella	Shimazuella sp. 2B11
Streptomyces sp. 2C4	2_C4	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	unclassifiedStreptomyces	Streptomyces sp. 2C4
Luteolibacter sp. 2C10	2_C10	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	unclassifiedLuteolibacter	Luteolibacter sp. 2C10
Marmoricola sp. 20E8	20_E8	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	Unassigned	Marmoricola sp. 20E8
Terrimonas sp. 2H1	2_H1	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Terrimonas	unclassifiedTerrimonas	Terrimonas sp. 2H1
Flavobacterium sp. 2H2	2_H2	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	Flavobacterium sp. 2H2
Micrococcaceae_Unassigned sp. 7D4	7_D4	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcaceae_Unassigned	Unassigned	Micrococcaceae_Unassigned sp. 7D4
Nocardioides sp. 12G3	12_G3	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 12G3
Nocardioides sp. 18A5	18_A5	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 18A5
Nocardioides sp. 7C9	7_C9	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 7C9
Brevibacillus sp. 7E2	7_E2	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Unassigned	Brevibacillus sp. 7E2
Peribacillus sp. 20D3	20_D3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Peribacillus	Peribacillussimplex	Peribacillus sp. 20D3
Mycolicibacterium sp. 20E9	20_E9	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Unassigned	Mycolicibacterium sp. 20E9
Bacillus sp. 25F11	25_F11	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned	Bacillus sp. 25F11
Agromyces sp. 20G8	20_G8	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Agromyces	Unassigned	Agromyces sp. 20G8
Paenibacillus sp. 20H6	20_H6	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unassigned	Paenibacillus sp. 20H6
Paenibacillus sp. 20H10	20_H10	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unassigned	Paenibacillus sp. 20H10
Pedobacter sp. 25A9	25_A9	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Unassigned	Pedobacter sp. 25A9
Paenibacillus sp. 25E7	25_E7	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Unassigned	Paenibacillus sp. 25E7
Nocardioides sp. 25G5	25_G5	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 25G5
Nocardioides sp. 9F8	9_F8	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 9F8
Chitinophaga sp. 18A10	18_A10	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Unassigned	Chitinophaga sp. 18A10
Nocardioides sp. 25C4	25_C4	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 25C4
Flavobacterium sp. 18F7	18_F7	Bacteria	Flavobacteria	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	Flavobacterium sp. 18F7
Solibacillus sp. 19F12	19_F12	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	Unassigned	Solibacillus sp. 19F12
Pedococcus sp. 19G1	19_G1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Intrasporangiaceae	Pedococcus	Unassigned	Pedococcus sp. 19G1
Terrimonas sp. 19H9	19_H9	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Terrimonas	Unassigned	Terrimonas sp. 19H9
Streptomyces sp. 4B2	4_B2	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unassigned	Streptomyces sp. 4B2
Mucilaginibacter sp. 4B3	4_B3	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Unassigned	Mucilaginibacter sp. 4B3
Rhodococcus sp. 4G4	4_G4	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Unassigned	Rhodococcus sp. 4G4
Aeromicrobium sp. 4E6	4_E6	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Unassigned	Aeromicrobium sp. 4E6
Streptomyces sp. 22A9	22_A9	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unassigned	Streptomyces sp. 22A9
Lactococcus sp. 22B7	22_B7	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Unassigned	Lactococcus sp. 22B7
Cohnella sp. 22D7	22_D7	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella	Unassigned	Cohnella sp. 22D7
Microbacterium sp. 22F1	22_F1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Unassigned	Microbacterium sp. 22F1
Streptomyces sp. 22G8	22_G8	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unassigned	Streptomyces sp. 22G8
Streptomyces sp. 22H10	22_H10	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unassigned	Streptomyces sp. 22H10
Nocardioides sp. 12B4	12_B4	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 12B4
Nocardioides sp. 12B7	12_B7	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	s:Nocardioides_sp.	Nocardioides sp. 12B7
Mycobacterium sp. 5E9	5_E9	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Unassigned	Mycobacterium sp. 5E9
Nocardioides sp. 9A3	9_A3	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 9A3
Paenibacillus sp. 12E11	12_E11	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Unassigned	Paenibacillus sp. 12E11
Janibacter sp. 12G9	12_G9	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter	Unassigned	Janibacter sp. 12G9
Nocardioides sp. 25G2	25_G2	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 25G2
Patulibacter sp. 12H6	12_H6	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Patulibacter	Unassigned	Patulibacter sp. 12H6
Phycicoccus sp. 5B2	5_B2	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus	Unassigned	Phycicoccus sp. 5B2
Nocardioides sp. 5B10	5_B10	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 5B10
Paenibacillus sp. 21C8	21_C8	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Unassigned	Paenibacillus sp. 21C8
Streptomyces sp. 21F9	21_F9	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unassigned	Streptomyces sp. 21F9
Nocardioides sp. 18A4	18_A4	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 18A4
Microbacterium sp. 10H9	10_H9	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Unassigned	Microbacterium sp. 10H9
Flavobacterium sp. 18B5	18_B5	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	Flavobacterium sp. 18B5
Flavihumibacter sp. 10A6	10_A6	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	Unassigned	Flavihumibacter sp. 10A6
Paenibacillus sp. 21G6	21_G6	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Unassigned	Paenibacillus sp. 21G6
Agromyces sp. 18F9	18_F9	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	Unassigned	Agromyces sp. 18F9
Microbacterium sp. 21E3	21_E3	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Unassigned	Microbacterium sp. 21E3
Paenibacillus sp. 22G11	22_G11	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Unassigned	Paenibacillus sp. 22G11
Clostridiumsensustricto1 sp. 22C8	22_C8	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	Unassigned	Clostridiumsensustricto1 sp. 22C8
Streptomyces sp. 5E2	5_E2	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unassigned	Streptomyces sp. 5E2
Nocardioides sp. 12C6	12_C6	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 12C6
uncultured sp. 12G7	12_G7	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	uncultured	s:uncultured_bacterium	uncultured sp. 12G7
uncultured sp. 21G9	21_G9	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	uncultured	s:uncultured_bacterium	uncultured sp. 21G9
Microbacterium sp. 2D12	2_D12	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Unassigned	Microbacterium sp. 2D12
Flavobacterium sp. 2D7	2_D7	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	Flavobacterium sp. 2D7
Flavobacterium sp. 9H6	9_H6	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	Flavobacterium sp. 9H6
Luteolibacter sp. 2A12	2_A12	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	Unassigned	Luteolibacter sp. 2A12
Luteolibacter sp. 2E8	2_E8	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	Unassigned	Luteolibacter sp. 2E8
Luteolibacter sp. 2B10	2_B10	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	Unassigned	Luteolibacter sp. 2B10
Bacillus sp. 25A5	25_A5	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned	Bacillus sp. 25A5
Bacillus sp. 18D8	18_D8	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned	Bacillus sp. 18D8
Bacillus sp. 22B2	22_B2	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned	Bacillus sp. 22B2
Flavobacterium sp. 2D11	2_D11	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	Flavobacterium sp. 2D11
Flavobacterium sp. 25E9	25_E9	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	Flavobacterium sp. 25E9
Agromyces sp. 20D9	20_D9	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	Unassigned	Agromyces sp. 20D9
Agromyces sp. 21E10	21_E10	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	Unassigned	Agromyces sp. 21E10
Paenarthrobacter sp. 7D6	7_D6	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Paenarthrobacter	Unassigned	Paenarthrobacter sp. 7D6
Paenarthrobacter sp. 5D4	5_D4	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Paenarthrobacter	Unassigned	Paenarthrobacter sp. 5D4
Nocardioides sp. 5D6	5_D6	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 5D6
Cellulomonas sp. 12F12	12_F12	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Unassigned	Cellulomonas sp. 12F12
Mycobacterium sp. 12A4	12_A4	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Unassigned	Mycobacterium sp. 12A4
Nocardioides sp. 4F3	4_F3	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 4F3
Micrococcaceae_Unassigned sp. 22F11	22_F11	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcaceae_Unassigned	Unassigned	Micrococcaceae_Unassigned sp. 22F11
Gordonia sp. 22A6	22_A6	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	Unassigned	Gordonia sp. 22A6
Paenibacillus sp. 22A8	22_A8	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Unassigned	Paenibacillus sp. 22A8
Arthrobacter sp. 22C2	22_C2	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Unassigned	Arthrobacter sp. 22C2
Paenibacillus sp. 22F6	22_F6	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Unassigned	Paenibacillus sp. 22F6
Leifsonia sp. 5C7	5_C7	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	Unassigned	Leifsonia sp. 5C7
Leifsonia sp. 22F12	22_F12	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	Unassigned	Leifsonia sp. 22F12
Williamsia sp. 22H9	22_H9	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Williamsia	Unassigned	Williamsia sp. 22H9
Bacillus sp. 21C11	21_C11	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned	Bacillus sp. 21C11
Nocardioides sp. 12H7	12_H7	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 12H7
Cellulomonas sp. 12G5	12_G5	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Unassigned	Cellulomonas sp. 12G5
Solitalea sp. 9A12	9_A12	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Solitalea	s:Solitalea_canadensis	Solitalea sp. 9A12
Chryseolinea sp. 9B3	9_B3	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	Chryseolinea	Unassigned	Chryseolinea sp. 9B3
Nocardioides sp. 9F5	9_F5	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned	Nocardioides sp. 9F5
Williamsia sp. 5E11	5_E11	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Williamsia	Unassigned	Williamsia sp. 5E11
Bacillus sp. 21B5	21_B5	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned	Bacillus sp. 21B5
Paenibacillus sp. 21B7	21_B7	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Unassigned	Paenibacillus sp. 21B7
Bacillus sp. 21G7	21_G7	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned	Bacillus sp. 21G7
Bacillus sp. 21C5	21_C5	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned	Bacillus sp. 21C5
Fictibacillus sp. 21D6	21_D6	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus	Unassigned	Fictibacillus sp. 21D6
Bacillus sp. 21D7	21_D7	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned	Bacillus sp. 21D7
Brevibacillus sp. 21H1	21_H1	Bacteria	Firmicutes	Bacilli	Brevibacillales	Brevibacillaceae	Brevibacillus	Unassigned	Brevibacillus sp. 21H1
Brevibacillus sp. 21H11	21_H11	Bacteria	Firmicutes	Bacilli	Brevibacillales	Brevibacillaceae	Brevibacillus	Unassigned	Brevibacillus sp. 21H11
Flavobacterium sp. 10C3	10_C3	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	Flavobacterium sp. 10C3
Flavobacterium sp. 10E8	10_E8	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	Flavobacterium sp. 10E8
Luteolibacter sp. 9F2	9_F2	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	Unassigned	Luteolibacter sp. 9F2
