plants,batch,treat,isolates,PRL,freshweight
249,2,RP,10C12,5.065,18.6
250,2,RP,10C12,5.17,20.6
251,2,RP,10D7,5.194,21.4
252,2,RP,10D7,4.853,22.6
253,2,RP,10D7,5.088,23.6
254,2,RP,10D7,5.026,19.6
255,2,RP,10D7,4.693,18.7
256,2,RP,2D3,5.679,27.4
257,2,RP,2D3,5.686,25.2
258,2,RP,2D3,5.434,19.2
259,2,RP,2D3,5.875,26.8
260,2,RP,2D3,5.948,22.6
261,2,RP,22D6,4.023,23.6
262,2,RP,22D6,4.078,19.3
263,2,RP,22D6,4.118,18.2
264,2,RP,22D6,4.193,16.8
265,2,RP,22D6,4.303,20.3
266,1,RP,18F2,5.269,18.4
267,1,RP,18F2,5.642,15.9
268,1,RP,18F2,6.858,15.3
269,1,RP,18F2,6.865,15.3
270,1,RP,18F2,5.264,17.3
271,2,RP,18F2,8.053,22.6
272,2,RP,18F2,6.563,14.1
273,2,RP,18F2,6.615,18.1
274,2,RP,18F2,6.214,15.9
275,2,RP,18F2,8.053,19.8
276,1,RP,21B8,4.361,8.2
277,1,RP,21B8,3.886,7.2
278,1,RP,21B8,4.004,10.3
279,1,RP,21B8,4.475,8.6
280,1,RP,21B8,3.839,9
281,2,RP,21B8,4.394,11
282,2,RP,21B8,4.519,7.6
283,2,RP,21B8,6.137,7.2
284,2,RP,21B8,3.982,9.1
285,2,RP,21B8,3.769,9.6
286,2,RP,25F3,3.691,10.2
287,2,RP,25F3,4.128,9.3
288,2,RP,25F3,3.571,10.8
289,2,RP,25F3,3.956,8.5
290,2,RP,25F3,3.875,9.8
