ASVID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV3398	Bacteria	Bacteroidota	c_Bacteroidia|o_Unclassified	c_Bacteroidia|o_Unclassified	c_Bacteroidia|o_|f_Unclassified	c_Bacteroidia|o_|f_|g_Unclassified	Unclassified
ASV3399	Bacteria	Bacteroidota	Chitinophagales	Chitinophagales	Chitinophagaceae	Chitinophaga	Unclassified
ASV3400	Bacteria	Bacteroidota	Flavobacteriales	Flavobacteriales	Crocinitomicaceae	Fluviicola	Unclassified
ASV3401	Bacteria	Bacteroidota	Sphingobacteriales	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Unclassified
ASV3402	Bacteria	Myxococcota	Haliangiales	Haliangiales	Haliangiaceae	Haliangium	uncultured_sludge
ASV3403	Bacteria	Actinobacteriota	Propionibacteriales	Propionibacteriales	Nocardioidaceae	Nocardioides	Unclassified
ASV3406	Bacteria	Acidobacteriota	Vicinamibacterales	Vicinamibacterales	o_Vicinamibacterales|f_uncultured	o_Vicinamibacterales|f_|g_uncultured	unidentified
ASV3407	Bacteria	Proteobacteria	Rhizobiales	Rhizobiales	Methyloligellaceae	f_Methyloligellaceae|g_uncultured	uncultured_Rhodobiaceae
ASV3408	Bacteria	Acidobacteriota	Acidobacteriales	Acidobacteriales	o_Acidobacteriales|f_uncultured	o_Acidobacteriales|f_|g_uncultured	Unclassified
ASV3409	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	o_Burkholderiales|f_Unclassified	o_Burkholderiales|f_|g_Unclassified	Unclassified
ASV3410	Bacteria	Proteobacteria	c_Gammaproteobacteria|o_Unclassified	c_Gammaproteobacteria|o_Unclassified	c_Gammaproteobacteria|o_|f_Unclassified	c_Gammaproteobacteria|o_|f_|g_Unclassified	Unclassified
ASV3411	Bacteria	Proteobacteria	Reyranellales	Reyranellales	Reyranellaceae	f_Reyranellaceae|g_uncultured	alpha_proteobacterium
ASV3412	Bacteria	Actinobacteriota	Solirubrobacterales	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	uncultured_organism
ASV3413	Bacteria	Proteobacteria	Elsterales	Elsterales	o_Elsterales|f_Unclassified	o_Elsterales|f_|g_Unclassified	Unclassified
ASV3414	Bacteria	Proteobacteria	Steroidobacterales	Steroidobacterales	Steroidobacteraceae	f_Steroidobacteraceae|g_Unclassified	Unclassified
ASV3416	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	o_Burkholderiales|f_Unclassified	o_Burkholderiales|f_|g_Unclassified	Unclassified
ASV3417	Bacteria	Actinobacteriota	Propionibacteriales	Propionibacteriales	Nocardioidaceae	Marmoricola	Marmoricola_ginsengisoli
ASV3418	Bacteria	Verrucomicrobiota	Chlamydiales	Chlamydiales	Parachlamydiaceae	f_Parachlamydiaceae|g_Unclassified	Unclassified
ASV3421	Bacteria	Proteobacteria	Xanthomonadales	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unclassified
ASV3422	Bacteria	Bacteroidota	Cytophagales	Cytophagales	Spirosomaceae	Dyadobacter	Unclassified
ASV3423	Bacteria	Actinobacteriota	Frankiales	Frankiales	Acidothermaceae	Acidothermus	uncultured_soil
ASV3424	Bacteria	Acidobacteriota	Subgroup_2	Subgroup_2	Subgroup_2	Subgroup_2	Unclassified
ASV3425	Bacteria	Actinobacteriota	Gaiellales	Gaiellales	Gaiellaceae	Gaiella	Unclassified
ASV3426	Bacteria	Actinobacteriota	Solirubrobacterales	Solirubrobacterales	67-14	67-14	uncultured_Conexibacteraceae
ASV3427	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	SC-I-84	SC-I-84	Unclassified
ASV3428	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	uncultured_Firmicutes
ASV3429	Bacteria	Acidobacteriota	Subgroup_2	Subgroup_2	Subgroup_2	Subgroup_2	bacterium_Ellin7509
ASV3430	Bacteria	Actinobacteriota	Gaiellales	Gaiellales	o_Gaiellales|f_uncultured	o_Gaiellales|f_|g_uncultured	Unclassified
ASV3431	Bacteria	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	uncultured_Desulfuromonadales
ASV3435	Bacteria	Acidobacteriota	Subgroup_2	Subgroup_2	Subgroup_2	Subgroup_2	Unclassified
ASV3436	Bacteria	Actinobacteriota	Gaiellales	Gaiellales	o_Gaiellales|f_uncultured	o_Gaiellales|f_|g_uncultured	uncultured_Firmicutes
ASV3439	Bacteria	Bacteroidota	Sphingobacteriales	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Unclassified
ASV3441	Bacteria	Actinobacteriota	IMCC26256	IMCC26256	IMCC26256	IMCC26256	uncultured_Ferrimicrobium
