num	name	treat	genotype	pot	date	water_content
102	Wc5	control	Col-0	5	11_05	0.766016392
103	Wr1	control	rsl2rsl4	1	11_05	0.831520454
104	Wr2	control	rsl2rsl4	2	11_05	0.827104396
105	Wr3	control	rsl2rsl4	3	11_05	0.832371984
106	Wr4	control	rsl2rsl4	4	11_05	0.826152596
107	Wr5	control	rsl2rsl4	5	11_05	0.810866575
108	Dg1	drought	gl2	1	11_05	0.519224148
109	Dg2	drought	gl2	2	11_05	0.530464273
110	Dg3	drought	gl2	3	11_05	0.520963742
111	Dg4	drought	gl2	4	11_05	0.530758557
112	Dg5	drought	gl2	5	11_05	0.511328703
113	Dg6	drought	gl2	6	11_05	0.524520501
114	Dg7	drought	gl2	7	11_05	0.513976763
115	Dg8	drought	gl2	8	11_05	0.503054299
116	Dg9	drought	gl2	9	11_05	0.479405964
117	Dg10	drought	gl2	10	11_05	0.557709959
118	Dg11	drought	gl2	11	11_05	0.529280601
119	Dc1	drought	Col-0	1	11_05	0.531027467
120	Dc2	drought	Col-0	2	11_05	0.501509522
121	Dc3	drought	Col-0	3	11_05	0.479256246
122	Dc4	drought	Col-0	4	11_05	0.540446708
123	Dc5	drought	Col-0	5	11_05	0.534417157
124	Dc6	drought	Col-0	6	11_05	0.512256877
125	Dc7	drought	Col-0	7	11_05	0.489839693
126	Dc8	drought	Col-0	8	11_05	0.501068977
127	Dc9	drought	Col-0	9	11_05	0.49538639
128	Dc10	drought	Col-0	10	11_05	0.51065791
129	Dr1	drought	rsl2rsl4	1	11_05	0.543586767
130	Dr2	drought	rsl2rsl4	2	11_05	0.554869684
131	Dr3	drought	rsl2rsl4	3	11_05	0.556715543
132	Dr4	drought	rsl2rsl4	4	11_05	0.54950905
133	Dr5	drought	rsl2rsl4	5	11_05	0.542369046
134	Dr6	drought	rsl2rsl4	6	11_05	0.526207134
135	Dr7	drought	rsl2rsl4	7	11_05	0.542399288
136	Dr8	drought	rsl2rsl4	8	11_05	0.55695162
137	Dr9	drought	rsl2rsl4	9	11_05	0.563274037
138	Dr10	drought	rsl2rsl4	10	11_05	0.564105545
139	Wg1	control	gl2	1	11_07	0.613162879
140	Wg2	control	gl2	2	11_07	0.651075878
141	Wg3	control	gl2	3	11_07	0.633223296
142	Wg4	control	gl2	4	11_07	0.645976223
143	Wg5	control	gl2	5	11_07	0.557250171
144	Wc1	control	Col-0	1	11_07	0.649917821
145	Wc2	control	Col-0	2	11_07	0.615979968
146	Wc3	control	Col-0	3	11_07	0.632357964
147	Wc4	control	Col-0	4	11_07	0.634894614
148	Wc5	control	Col-0	5	11_07	0.600369387
149	Wr1	control	rsl2rsl4	1	11_07	0.715299125
150	Wr2	control	rsl2rsl4	2	11_07	0.698852664
151	Wr3	control	rsl2rsl4	3	11_07	0.700529723
152	Wr4	control	rsl2rsl4	4	11_07	0.691789571
153	Wr5	control	rsl2rsl4	5	11_07	0.675378267
154	Dg1	drought	gl2	1	11_07	0.376104671
155	Dg2	drought	gl2	2	11_07	0.378318325
156	Dg3	drought	gl2	3	11_07	0.371914492
157	Dg4	drought	gl2	4	11_07	0.392229417
158	Dg5	drought	gl2	5	11_07	0.369919162
159	Dg6	drought	gl2	6	11_07	0.391983462
160	Dg7	drought	gl2	7	11_07	0.367882204
161	Dg8	drought	gl2	8	11_07	0.371153846
162	Dg9	drought	gl2	9	11_07	0.33530572
163	Dg10	drought	gl2	10	11_07	0.423474071
164	Dg11	drought	gl2	11	11_07	0.383170989
165	Dc1	drought	Col-0	1	11_07	0.394484006
166	Dc2	drought	Col-0	2	11_07	0.35415699
167	Dc3	drought	Col-0	3	11_07	0.346310285
168	Dc4	drought	Col-0	4	11_07	0.399375072
169	Dc5	drought	Col-0	5	11_07	0.386832699
170	Dc6	drought	Col-0	6	11_07	0.366785591
171	Dc7	drought	Col-0	7	11_07	0.342741025
172	Dc8	drought	Col-0	8	11_07	0.360414088
173	Dc9	drought	Col-0	9	11_07	0.34532872
174	Dc10	drought	Col-0	10	11_07	0.369627837
175	Dr1	drought	rsl2rsl4	1	11_07	0.422867092
