plants,date,group,treat,replication,PRL,freshweight
121,ZH2,RP,WT_4F10,1,7.85,10.2
122,ZH2,RP,WT_4F10,2,7.64,12.7
123,ZH2,RP,WT_4F10,3,NA,NA
124,ZH2,RP,WT_4F10,4,NA,NA
125,ZH2,RP,WT_4F10,5,NA,NA
126,ZH2,RP,Buffer,1,4.11,7.6
127,ZH2,RP,Buffer,2,4.7,7.8
128,ZH2,RP,Buffer,3,4.37,7
129,ZH2,RP,Buffer,4,4.49,10.1
130,ZH2,RP,Buffer,5,3.91,5.6
131,ZH2,RP,Buffer,1,3.6,6.8
132,ZH2,RP,Buffer,2,3.83,4.6
133,ZH2,RP,Buffer,3,3.84,6
134,ZH2,RP,Buffer,4,3.83,5.8
135,ZH2,RP,Buffer,5,NA,NA
136,ZH2,RP,ocd_4F10,1,6.51,13.3
137,ZH2,RP,ocd_4F10,2,NA,NA
138,ZH2,RP,ocd_4F10,3,7.37,17.7
139,ZH2,RP,ocd_4F10,4,7.1,15.3
140,ZH2,RP,ocd_4F10,5,7.5,18.3
141,ZH2,RP,ocd_4F10,1,7.08,15.1
142,ZH2,RP,ocd_4F10,2,NA,NA
143,ZH2,RP,ocd_4F10,3,7.35,13.4
144,ZH2,RP,ocd_4F10,4,7.44,10.6
145,ZH2,RP,ocd_4F10,5,NA,NA
